month,Total_laid_off,Rolling_total
2020-03,9628,9628
2020-04,26710,36338
2020-05,25804,62142
2020-06,7642,69784
2020-07,7112,76896
2020-08,1969,78865
2020-09,609,79474
2020-10,450,79924
2020-11,237,80161
2020-12,852,81013
2021-01,6813,87826
2021-02,868,88694
2021-03,47,88741
2021-04,261,89002
2021-06,2434,91436
2021-07,80,91516
2021-08,1867,93383
2021-09,161,93544
2021-10,22,93566
2021-11,2070,95636
2021-12,1200,96836
2022-01,510,97346
2022-02,3685,101031
2022-03,5714,106745
2022-04,4128,110873
2022-05,12885,123758
2022-06,17394,141152
2022-07,16248,157400
2022-08,13055,170455
2022-09,5881,176336
2022-10,17406,193742
2022-11,53541,247283
2022-12,10329,257612
2023-01,85304,342916
2023-02,36493,379409
2023-03,4470,383879
